N,execucoes,metodo_selecao,TP,NG,TC,TM,IG,custo_medio,desvio_padrao,melhor_custo,pior_custo,ganho_medio,tempo_medio
50,20,torneio,10,200,0.5,0.2,0.0,1220.15,70.20347213635519,1121,1409,48.56731168614415,0.20686526790000243
50,20,torneio,100,50,0.8,0.8,0.1,1145.95,61.947941854431285,1033,1254,48.49759235270015,0.34017558175000884
50,20,torneio,100,50,0.5,0.8,0.1,1138.35,44.363583038343506,1044,1236,48.46924754177959,0.3198834954499489
50,20,torneio,100,100,0.2,0.8,0.0,1167.7,64.67696653368957,1040,1320,47.893568990830296,0.6609949209499973
50,20,torneio,100,50,0.8,0.2,0.7,1164.85,42.566741712280496,1092,1278,47.79886013385432,0.34737635220012636
50,20,torneio,100,50,0.5,0.2,0.1,1192.85,47.46501343094722,1131,1300,47.709795378770934,0.3194577656997808
50,20,torneio,50,50,0.2,0.8,0.1,1202.8,43.09361901720486,1091,1307,47.624532645711625,0.2581403610499365
50,20,torneio,50,100,0.8,0.8,0.0,1202.2,67.34062666771078,1086,1336,47.577899626961845,0.46757531104995
50,20,torneio,100,100,0.5,0.8,0.0,1174.35,83.92513032459348,968,1290,47.49582822042025,0.638646819899941
50,20,torneio,100,50,0.8,0.2,0.1,1174.6,51.98211230798533,1070,1264,47.4497669671291,0.34091727059999355
50,20,torneio,100,50,0.5,0.2,0.7,1186.85,48.599665636709894,1102,1280,47.231003118318334,0.3179094410000289
50,20,torneio,100,50,0.2,0.2,0.7,1176.2,61.7621243157973,1077,1301,47.20803947433959,0.2990440333001061
50,20,torneio,100,50,0.5,0.2,0.0,1177.5,53.02216517646181,1059,1256,47.08529773902147,0.3209680685501553
50,20,torneio,100,50,0.8,0.2,0.0,1186.95,48.253989472374194,1082,1275,47.080370009301916,0.32066085360002033
50,20,torneio,100,50,0.2,0.2,0.1,1187.3,53.82016350774122,1095,1295,47.02425955701274,0.29811546864993943
50,20,torneio,50,100,0.5,0.8,0.0,1221.4,72.34390091776915,1025,1342,46.6259878417679,0.4793384529501509
50,20,torneio,10,50,0.5,0.8,0.7,1285.4,60.48503947258363,1157,1414,46.55364347921649,0.05338451284997063
50,20,torneio,50,50,0.5,0.2,0.0,1257.45,72.65498950519503,1108,1433,46.33105098468839,0.24758318835001775
50,20,torneio,50,100,0.2,0.8,0.0,1218.4,55.06396280690303,1101,1356,46.26398813736618,0.47011192444992955
50,20,torneio,50,50,0.5,0.2,0.1,1239.25,66.53110174948254,1087,1320,46.17733616518811,0.24509753410002305
50,20,torneio,10,50,0.2,0.8,0.7,1324.5,69.05541253225557,1180,1457,45.96158236815336,0.05440028075004193
50,20,torneio,100,50,0.2,0.2,0.0,1223.75,61.19221764244208,1094,1337,45.55731533896169,0.29711665419999916
50,20,torneio,10,50,0.8,0.8,0.7,1319.65,53.754325407356745,1248,1447,45.54632884427116,0.05619371965008213
50,20,torneio,10,100,0.8,0.2,0.7,1321.7,55.823919604413305,1199,1432,45.35286504858732,0.10900760049999007
50,20,torneio,10,100,0.2,0.2,0.1,1354.75,66.9095471513595,1232,1501,45.21017007466479,0.10878694680000081
50,20,torneio,50,50,0.8,0.2,0.7,1236.6,53.4933640744345,1182,1359,45.20280745739456,0.2545366510498752
50,20,torneio,10,200,0.8,0.8,0.0,1319.4,77.35980868642321,1175,1461,45.14835964592503,0.21773193695012197
50,20,torneio,10,50,0.2,0.8,0.1,1352.15,56.50334060920646,1263,1480,44.99650404158838,0.0531430284499038
50,20,torneio,10,50,0.8,0.8,0.1,1320.15,95.7383282703432,1172,1570,44.91223471093957,0.053541945899951315
50,20,torneio,50,50,0.5,0.2,0.7,1259.0,62.87527335924672,1130,1376,44.664241241873846,0.25331399219999184
50,20,torneio,10,100,0.5,0.2,0.1,1367.75,80.08550118467137,1180,1499,44.47697936920508,0.10759001275009723
50,20,torneio,10,200,0.2,0.8,0.0,1365.85,86.49351131732368,1223,1524,44.41552815675231,0.21285046739994867
50,20,torneio,50,50,0.8,0.2,0.1,1257.25,64.63812729341716,1147,1380,44.397573242838206,0.25297117175000494
50,20,torneio,10,50,0.5,0.8,0.1,1332.4,88.38687685397646,1192,1504,44.35319468108007,0.055462571049929466
50,20,torneio,50,50,0.8,0.2,0.0,1266.45,60.42638082824421,1145,1397,44.26933356137859,0.26044043154988683
50,20,torneio,10,100,0.8,0.2,0.1,1346.9,70.08202337261675,1178,1488,44.18033588358607,0.10898400779992698
50,20,torneio,10,100,0.5,0.2,0.7,1351.7,82.53066096912104,1113,1519,44.088123151119504,0.1067680528999972
50,20,torneio,10,100,0.8,0.2,0.0,1346.75,82.98727312064182,1174,1484,44.08288918373556,0.10916901960003997
50,20,torneio,50,50,0.2,0.2,0.1,1285.95,45.639319670652405,1219,1375,44.05968098717713,0.24605541135006206
50,20,torneio,10,100,0.5,0.2,0.0,1367.7,70.56422606391996,1269,1510,43.8968113710941,0.10599755939992975
50,20,torneio,10,100,0.2,0.2,0.7,1331.85,81.97638379435872,1147,1496,43.89389024813779,0.10671540700000151
50,20,torneio,50,50,0.2,0.2,0.7,1294.55,50.39888391621386,1201,1384,43.56281642527813,0.24898486009992665
50,20,torneio,10,200,0.5,0.8,0.0,1348.0,70.09422230112835,1181,1466,43.208612894337506,0.21918698349991245
50,20,torneio,10,100,0.2,0.2,0.0,1369.65,68.43922486410845,1251,1513,43.155737124454866,0.10567369790001066
50,20,torneio,10,100,0.8,0.8,0.0,1383.35,73.10832715908634,1239,1520,42.81184822276761,0.11235690414996498
50,20,torneio,10,100,0.5,0.8,0.0,1353.6,65.7338573339493,1227,1505,42.70552101579112,0.1163546346500425
50,20,torneio,100,50,0.8,0.8,0.0,1293.25,62.40582905466444,1165,1429,42.61438006277946,0.3407103628998357
50,20,torneio,10,100,0.2,0.8,0.0,1396.35,75.54222329267256,1204,1513,42.48830605205579,0.10890915689992653
50,20,torneio,50,50,0.2,0.2,0.0,1314.85,56.99760959899985,1215,1439,42.01587203707009,0.24828008824997597
50,20,torneio,100,50,0.2,0.8,0.0,1304.15,45.28495887157236,1216,1402,41.4860379053366,0.30813266259992816
50,20,torneio,50,50,0.5,0.8,0.0,1337.4,56.870378933149375,1230,1447,41.4599873319318,0.2666685920998589
50,20,torneio,100,50,0.5,0.8,0.0,1313.25,50.075817517041095,1233,1440,41.45942194374889,0.32393968025003234
50,20,torneio,50,50,0.2,0.8,0.0,1342.6,53.152046056572466,1222,1424,41.11642900086157,0.26043872334998924
50,20,torneio,50,50,0.8,0.8,0.0,1359.95,60.90030788099515,1206,1455,40.64202153420828,0.2664494752000337
50,20,torneio,10,50,0.5,0.8,0.0,1458.3,72.81352896268659,1338,1563,39.378966715656674,0.05299436094978773
50,20,torneio,10,50,0.2,0.8,0.0,1471.05,78.03170829861409,1301,1594,39.144001771854064,0.05280768975007959
50,20,torneio,10,50,0.8,0.8,0.0,1470.95,66.96452419005155,1316,1619,38.9502851282856,0.05405322765013807
50,20,torneio,10,50,0.5,0.2,0.1,1528.55,83.73737218231774,1308,1668,36.75008392034077,0.0513734202500018
50,20,torneio,10,50,0.8,0.2,0.1,1553.15,88.781346576857,1365,1753,35.674687001447474,0.052522817999852124
50,20,torneio,10,50,0.5,0.2,0.0,1551.4,80.22804995760524,1369,1690,35.39112461270568,0.05255817119996209
50,20,torneio,10,50,0.8,0.2,0.7,1538.0,104.21228334510285,1363,1746,35.15663088103279,0.05197335595007644
50,20,torneio,10,50,0.2,0.2,0.0,1581.65,100.87332402573041,1361,1762,34.42898532198229,0.05180140169982224
50,20,torneio,10,50,0.5,0.2,0.7,1574.4,72.83158655418679,1469,1710,34.30553955069158,0.05141100934993119
50,20,torneio,10,50,0.8,0.2,0.0,1585.3,71.93823739847954,1425,1714,34.06403085530255,0.05396031234990915
50,20,torneio,10,50,0.2,0.2,0.1,1589.5,97.97831392711349,1422,1789,33.888806648823625,0.05221273420006582
50,20,torneio,10,50,0.2,0.2,0.7,1601.25,100.33388012032626,1456,1780,32.967168000105076,0.05098436275011409
50,20,torneio,100,10,0.5,0.8,0.1,1702.15,57.76268259005982,1557,1805,25.143059508857682,0.06609709240005941
50,20,torneio,100,200,0.8,0.0,0.0,1702.55,111.38243802323598,1493,1936,24.66048400005718,1.2867495777999465
50,20,torneio,100,10,0.8,0.8,0.7,1699.6,54.319793814041674,1606,1789,24.526539314711165,0.07255377855003645
50,20,torneio,50,10,0.5,0.8,0.7,1765.55,59.8134391253337,1633,1862,24.478832805445983,0.054231507950044035
50,20,torneio,100,10,0.8,0.2,0.1,1721.3,71.0662367091434,1620,1893,24.00607613804914,0.066747415349937
50,20,torneio,100,100,0.8,0.0,0.7,1714.3,123.54679275481013,1524,2079,23.983159009334155,0.6109055017499031
50,20,torneio,50,10,0.8,0.8,0.7,1739.75,81.2021397501322,1614,1888,23.858902954682975,0.05638404925007308
50,20,torneio,100,10,0.8,0.8,0.1,1728.1,58.680405588237036,1632,1838,23.68837055089624,0.0724550989000818
50,20,torneio,100,10,0.2,0.8,0.7,1732.3,49.62569898752056,1651,1846,23.6261769700565,0.06502499345006071
50,20,torneio,50,10,0.8,0.8,0.1,1730.6,66.56305281460578,1605,1825,23.615708702550727,0.05528856235005151
50,20,torneio,10,10,0.8,0.8,0.1,1849.25,101.21505569825074,1658,1994,23.5871126433263,0.014210854599969024
50,20,torneio,100,10,0.5,0.8,0.7,1730.05,58.58709328853924,1623,1852,23.371117885046033,0.06738880699999754
50,20,torneio,100,50,0.8,0.0,0.7,1729.05,84.1014119976591,1551,1887,23.183943599582598,0.31374867455006095
50,20,torneio,50,10,0.2,0.8,0.1,1764.35,62.51421838270074,1591,1875,23.15018852392199,0.05656211830000757
50,20,torneio,50,10,0.5,0.8,0.1,1785.6,53.77862028724798,1679,1887,23.101822134914677,0.05463276429991311
50,20,torneio,100,10,0.2,0.8,0.1,1712.6,55.29231411326532,1574,1791,23.072045323090187,0.06359845599990877
50,20,torneio,100,50,0.8,0.0,0.0,1688.6,125.67434105655776,1423,1889,22.80180249068271,0.31401863029991545
50,20,torneio,50,10,0.8,0.2,0.7,1781.65,70.40829141514514,1646,1965,22.71118864461615,0.05621730250004475
