N,execucoes,metodo_selecao,TP,NG,TC,TM,IG,custo_medio,desvio_padrao,melhor_custo,pior_custo,ganho_medio,tempo_medio
50,20,torneio,10,200,0.2,0.8,0.7,1045.9,52.05180112157504,933,1138,56.772357198047146,0.13012415355000256
50,20,torneio,100,200,0.8,0.2,0.0,967.45,32.02417055912612,911,1037,56.60223433355471,2.0632072028499806
50,20,torneio,100,200,0.5,0.2,0.7,965.45,45.42298427008072,893,1040,56.55970126640072,1.8794397800000069
50,20,torneio,100,100,0.2,0.8,0.7,985.85,34.784012132012606,901,1065,56.554597186890554,0.7094345251000049
50,20,torneio,50,200,0.5,0.2,0.1,1005.25,44.564419664122184,935,1096,56.54114775658752,0.6584232335000365
50,20,torneio,50,200,0.2,0.2,0.0,1015.95,49.25187813677769,917,1084,56.42796561324322,0.6809496417999981
50,20,torneio,100,100,0.5,0.8,0.7,981.1,55.3533196836468,862,1101,56.30031983377486,0.6895272744000522
50,20,torneio,10,200,0.5,0.8,0.1,1052.7,53.73369520142831,949,1182,56.28049327468567,0.133318273149996
50,20,torneio,50,100,0.8,0.8,0.7,1014.1,40.43006307192705,917,1096,56.21836884915941,0.3352458777500374
50,20,torneio,100,200,0.2,0.2,0.0,985.4,38.17119332690556,867,1041,56.18744104228098,1.2856849436999709
50,20,torneio,100,200,0.8,0.2,0.1,986.0,31.629100524675057,918,1068,56.03873609715313,2.004864101349972
50,20,torneio,50,100,0.5,0.8,0.7,1015.25,43.62209875739589,929,1088,56.00727424981441,0.31972890275000054
50,20,torneio,100,100,0.8,0.8,0.7,973.6,35.59269587991334,902,1076,55.94369011727753,0.6890120395999701
50,20,torneio,10,200,0.2,0.8,0.1,1073.35,47.50081578246841,987,1191,55.84046690930152,0.13089250569996694
50,20,torneio,50,200,0.8,0.2,0.0,1011.85,38.420404734984245,960,1101,55.76274742366955,0.6941468469000256
50,20,torneio,100,200,0.5,0.2,0.0,988.8,40.33683180419603,920,1066,55.73289134721441,1.9354572364499745
50,20,torneio,10,200,0.5,0.8,0.7,1051.6,42.56218979328954,964,1180,55.664446757509324,0.1337730427500219
50,20,torneio,100,100,0.5,0.8,0.1,996.65,41.628445803320595,926,1067,55.46331801764065,0.6651179113499893
50,20,torneio,50,100,0.8,0.8,0.1,1041.65,46.52125858142705,951,1148,55.40692336569164,0.3289942793999785
50,20,torneio,50,200,0.8,0.2,0.7,1013.55,62.08258612525738,904,1128,55.401817625330786,0.6712235721999832
50,20,torneio,50,200,0.5,0.2,0.7,1007.85,43.488245538306096,940,1097,55.3225952903551,0.6667764667999677
50,20,torneio,50,200,0.8,0.2,0.1,1014.9,30.75369896451482,940,1059,55.23745530700279,0.6496376553999653
50,20,torneio,50,100,0.2,0.8,0.7,1025.05,42.31958766339766,962,1093,55.19203796429822,0.32081669154993053
50,20,torneio,50,100,0.2,0.8,0.1,1027.4,53.90306113756435,910,1121,55.15058670785622,0.32339721269996746
50,20,torneio,10,200,0.8,0.8,0.1,1087.4,37.885881275219134,999,1156,55.144276061476845,0.1450194423500079
50,20,torneio,100,200,0.2,0.2,0.1,987.95,26.723538313629057,937,1035,55.07466970134571,1.282527153900014
50,20,torneio,100,100,0.8,0.8,0.1,991.05,44.141222230472955,934,1103,55.029778451305084,0.6935500054999466
50,20,torneio,50,200,0.2,0.2,0.7,1029.95,34.90913204306289,958,1088,54.915897147504666,0.6655478636000112
50,20,torneio,50,100,0.5,0.8,0.1,1018.5,42.64094276631322,916,1097,54.88939194541764,0.36028404030000727
